V1,V2
211,654
212,58
212,84
212,131
212,314
212,382
212,549
212,639
213,78
213,666
213,1145
214,28
214,220
214,280
214,350
214,453
214,468
214,507
214,529
214,573
214,642
215,55
215,94
215,459
215,464
215,640
215,677
216,29
216,108
216,238
216,271
216,281
216,392
216,450
216,463
216,510
216,647
217,264
217,271
217,322
217,464
218,106
218,329
218,352
218,591
218,647
219,177
219,270
219,273
219,595
220,28
220,133
220,191
220,285
220,529
220,553
220,605
220,615
221,143
221,197
221,265
221,270
221,316
221,389
221,416
221,607
221,680
222,21
222,87
222,285
222,553
222,615
223,357
223,738
223,985
223,1066
223,1093
225,198
225,403
225,439
225,459
225,476
225,528
225,605
225,611
225,677
226,196
226,231
226,577
227,69
227,191
227,487
227,508
227,547
227,649
227,651
228,280
228,308
228,334
228,423
228,453
228,641
228,666
228,675
228,957
229,415
229,595
230,99
230,105
230,250
230,436
230,547
230,610
230,672
231,176
231,226
231,237
231,413
231,512
231,620
232,165
232,166
232,457
233,346
233,365
233,416
233,433
233,536
233,559
233,572
234,152
234,254
234,312
234,329
234,591
234,664
234,685
235,64
235,65
235,236
235,509
235,660
236,162
236,165
236,166
236,232
236,351
236,442
236,445
236,660
237,66
237,128
237,241
237,574
237,620
237,663
237,740
237,897
238,214
238,216
238,288
238,421
238,450
238,647
238,649
238,658
238,676
239,92
239,240
239,290
239,310
239,335
239,369
239,403
239,476
239,643
240,170
240,239
240,403
240,599
240,611
240,622
240,680
241,111
241,120
241,395
241,595
241,631
242,35
242,156
242,251
242,560
242,650
244,285
244,391
244,553
244,558
245,95
245,272
245,296
245,389
245,534
245,588
245,826
245,1041
245,1080
245,1095
246,43
246,505
246,593
247,62
247,335
247,443
247,1053
248,174
248,260
248,320
248,490
248,626
250,69
250,107
250,230
250,319
250,493
250,598
250,610
250,648
251,35
251,242
251,521
251,665
251,1016
252,39
252,44
252,156
252,204
252,374
252,543
252,619
252,679
253,296
253,333
253,409
253,546
253,586
253,621
253,663
254,71
254,152
254,185
254,640
255,177
255,197
255,674
256,40
256,124
256,148
256,293
256,321
256,482
256,485
256,554
257,35
257,103
257,194
257,452
257,523
257,528
257,611
258,171
258,179
258,232
258,266
258,355
258,458
258,460
259,49
259,66
259,160
259,226
259,344
259,562
259,613
259,1076
260,6
260,124
260,174
260,197
260,248
261,93
261,166
261,348
261,442
261,485
261,536
261,597
262,6
262,324
262,383
262,404
262,620
263,290
263,316
263,437
263,531
264,70
264,203
264,217
264,269
264,312
265,353
265,395
266,120
266,283
266,404
266,491
266,620
267,55
267,94
267,459
267,556
267,640
267,677
268,169
268,218
268,228
268,307
268,434
268,634
268,635
268,659
269,199
269,203
269,264
269,267
270,219
270,316
271,109
271,207
271,216
271,280
271,281
271,392
271,413
271,463
271,464
271,675
272,25
272,361
272,446
272,643
274,352
274,564
274,649
274,676
274,807
275,283
275,460
275,533
275,579
275,657
276,65
276,139
276,406
276,582
277,41
277,182
277,673
280,29
280,85
280,108
280,119
280,271
280,359
280,392
280,463
280,666
280,675
281,108
281,216
281,463
281,494
281,564
281,573
281,598
281,676
282,151
282,379
282,445
282,469
282,495
282,625
282,665
283,176
283,266
284,30
284,67
284,152
284,420
284,472
284,508
284,522
285,87
285,179
285,391
285,553
285,615
286,55
286,78
286,167
286,194
286,198
286,244
286,452
286,486
287,249
287,255
287,270
287,426
287,841
288,29
288,238
288,242
288,367
288,468
288,508
288,610
288,649
289,61
289,153
289,424
289,426
289,499
290,189
290,239
290,278
290,369
290,436
290,532
291,229
291,584
291,595
291,616
292,28
292,194
292,272
292,510
292,528
292,605
293,22
293,24
293,198
293,535
293,582
295,164
295,308
295,330
296,237
296,419
296,534
296,574
296,620
297,294
297,521
298,123
298,992
298,1044
299,76
299,86
300,23
300,37
300,60
300,425
300,470
300,562
301,26
301,61
301,189
301,328
301,434
301,549
301,619
301,679
302,314
302,342
302,357
302,366
302,378
302,522
302,560
302,639
302,652
303,15
303,186
303,235
303,429
303,448
303,571
303,619
303,905
303,910
303,1005
304,88
304,147
304,305
304,390
304,414
304,415
305,147
305,259
305,304
305,390
305,414
305,535
305,537
306,23
306,470
306,558
306,653
307,164
307,223
307,427
308,164
308,188
308,295
308,350
308,423
309,189
309,393
310,48
310,160
310,239
310,335
310,353
310,414
310,415
310,422
310,622
311,89
311,219
311,270
311,278
311,410
311,490
311,491
311,583
312,211
312,295
312,464
312,591
312,603
312,637
313,337
313,400
313,456
313,588
313,622
314,58
314,212
314,382
314,522
315,44
315,105
315,252
315,679
316,93
316,221
316,263
316,265
316,270
316,436
316,437
316,680
317,140
317,292
317,367
317,452
317,499
317,613
318,110
318,606
318,738
318,985
318,1034
319,23
319,73
319,77
319,470
319,618
319,651
319,662
319,684
320,6
320,174
320,248
320,260
320,325
321,124
321,272
321,469
321,570
322,217
324,100
324,142
324,410
324,586
324,620
324,728
324,853
325,296
325,580
326,179
326,200
326,391
326,684
327,50
327,71
327,227
327,254
327,425
327,487
327,656
327,682
328,35
328,42
328,122
328,154
328,301
328,331
328,378
328,639
328,685
329,36
329,72
329,110
329,164
329,190
329,215
329,218
329,308
329,500
330,58
330,212
330,295
330,378
330,424
330,549
331,53
331,180
331,191
331,220
331,334
331,451
331,487
331,528
331,641
332,58
332,476
332,480
332,499
332,632
332,645
333,14
333,47
333,88
333,253
333,321
333,348
333,513
333,575
333,627
334,28
334,53
334,133
334,191
334,220
334,451
334,524
334,641
335,239
335,415
335,550
335,640
336,14
336,80
336,93
336,239
336,432
336,574
336,576
336,621
337,311
337,313
337,364
337,569
338,190
338,218
338,251
338,543
338,685
340,101
340,449
340,594
340,679
340,685
341,219
341,428
342,118
342,198
342,225
342,284
342,355
342,374
342,472
342,611
342,622
343,11
343,191
343,238
343,331
343,355
343,358
343,510
343,524
343,641
343,647
344,161
344,165
344,259
344,261
344,262
344,908
344,922
344,1120
345,33
345,68
345,138
345,201
345,247
345,351
346,22
346,351
346,511
347,18
347,195
347,331
347,350
347,449
347,450
347,768
348,166
348,232
348,243
348,258
348,259
348,261
348,266
348,333
348,458
348,534
349,27
349,280
349,420
349,454
349,623
349,730
349,959
349,1134
350,4
350,207
350,214
350,423
350,453
350,524
351,236
351,274
351,346
351,512
351,593
352,19
352,281
352,288
352,359
352,450
352,498
352,630
352,647
352,649
352,666
354,111
354,324
354,1087
355,179
355,194
355,222
355,391
355,478
355,486
355,605
355,651
356,94
356,176
356,203
356,357
356,459
357,223
357,297
357,302
357,356
357,639
358,238
358,331
358,450
358,524
358,564
358,641
358,651
358,658
359,352
359,441
359,721
360,23
360,69
360,227
360,425
360,486
360,487
360,651
361,25
361,62
361,176
361,272
361,353
361,393
361,643
362,36
362,190
363,277
363,293
363,383
363,437
363,572
363,582
363,584
363,594
364,258
364,401
364,584
364,949
365,22
365,83
365,233
365,346
365,410
365,425
365,511
365,572
366,26
366,42
366,302
366,314
366,650
368,369
368,436
368,577
368,663
369,165
369,239
369,290
369,403
369,513
369,536
370,117
370,120
370,121
370,259
370,335
370,353
370,407
370,595
371,369
371,379
371,533
371,877
372,73
372,78
372,94
372,102
372,326
372,477
372,640
374,39
374,73
374,78
374,377
374,428
374,510
374,559
374,605
374,645
375,255
375,379
375,467
375,569
375,608
375,1130
377,34
377,39
377,130
377,170
377,374
377,439
377,478
378,61
378,202
378,340
378,357
378,639
379,161
379,164
379,350
379,375
379,423
379,446
379,608
380,394
380,401
382,238
382,314
382,676
383,363
383,518
383,572
383,574
383,595
383,646
383,668
383,681
384,76
384,110
384,289
384,299
384,601
384,679
386,116
386,325
386,545
388,120
388,215
388,245
388,375
388,389
388,410
388,581
388,593
389,95
389,159
389,193
389,221
389,245
389,576
389,1080
390,92
390,147
390,304
390,305
390,414
390,512
390,537
391,244
391,285
391,355
391,527
392,85
392,108
392,216
392,271
392,280
392,463
392,647
392,675
392,830
392,957
393,62
393,83
393,176
393,189
393,536
393,627
394,16
394,31
394,121
394,134
394,380
394,570
395,241
395,265
397,40
397,193
397,256
397,313
397,538
397,554
398,293
398,335
399,68
399,173
399,253
399,325
399,341
400,29
400,211
400,313
400,533
400,624
400,754
400,1003
400,1052
402,9
402,134
402,159
402,187
402,430
402,431
402,588
403,225
403,239
403,369
403,374
403,476
403,536
403,558
403,869
404,241
404,262
404,512
404,570
404,613
404,913
406,9
406,82
406,276
406,419
406,516
406,572
406,635
407,265
407,351
407,353
407,370
407,397
407,595
408,101
408,208
408,766
408,987
408,1024
409,210
409,299
410,83
410,104
410,142
410,365
410,368
410,559
411,23
411,39
411,405
411,651
413,172
413,311
413,489
413,490
413,491
413,600
413,620
413,641
414,75
414,147
414,226
414,304
414,305
414,390
414,422
414,455
414,577
415,75
415,304
415,335
415,414
415,621
416,49
416,147
416,433
416,436
416,437
416,680
417,108
417,220
417,334
417,610
417,623
418,269
418,312
418,603
419,92
419,139
419,187
419,241
419,402
419,404
419,534
419,781
419,876
420,107
420,136
420,284
420,366
420,472
420,560
420,563
420,566
421,4
421,26
421,203
421,214
421,238
421,494
421,630
421,632
421,645
421,676
422,25
422,48
422,89
422,310
422,495
422,572
422,583
422,592
422,622
423,308
423,493
425,300
425,355
425,508
425,547
425,672
425,682
426,543
427,43
427,164
427,188
427,295
427,307
427,459
427,678
428,219
428,341
428,374
428,538
428,681
429,356
429,385
430,159
430,431
430,433
430,436
430,437
430,568
430,607
430,703
430,1127
431,89
431,139
431,159
431,402
431,430
431,433
431,436
431,538
431,588
431,631
433,189
433,290
433,365
433,416
433,430
433,550
433,562
433,570
433,680
434,26
434,214
434,238
434,347
434,350
434,524
434,641
434,649
434,917
435,440
435,443
436,147
436,189
436,393
436,416
436,538
436,592
436,680
437,17
437,22
437,91
437,433
437,436
437,538
437,582
438,128
438,149
438,159
438,236
438,430
438,431
438,432
438,469
438,593
439,339
439,377
439,378
439,599
439,645
439,714
439,720
439,727
440,569
440,671
441,45
441,163
441,167
441,231
441,359
441,473
441,480
441,654
442,146
442,166
442,236
442,283
442,436
442,519
442,1120
444,108
444,126
444,164
444,223
444,352
444,355
444,371
444,524
444,529
444,651
445,62
445,282
445,379
445,388
445,458
445,469
445,665
445,953
446,25
446,31
446,278
446,361
446,379
446,394
446,511
446,526
446,643
446,909
448,271
448,303
448,312
448,384
448,406
448,427
448,454
448,619
448,767
448,842
449,26
449,153
449,289
449,342
449,347
449,594
450,29
450,108
450,216
450,281
450,352
450,392
450,463
450,510
450,647
450,666
451,28
451,191
451,331
451,334
451,452
451,602
451,615
451,917
451,1001
452,21
452,194
452,220
452,244
452,257
452,355
452,361
452,451
452,594
452,605
453,18
453,214
453,350
453,423
453,480
453,488
453,524
454,37
454,97
454,101
454,172
454,328
454,342
454,349
454,444
454,521
455,21
455,58
455,110
455,155
455,414
455,567
455,602
455,679
456,92
456,193
456,237
456,341
456,489
456,495
456,586
456,607
456,620
457,22
457,437
457,572
457,582
459,45
459,74
459,94
459,168
459,199
459,427
459,544
459,677
459,1040
460,121
460,162
460,176
460,266
460,283
460,491
460,534
461,1
461,74
461,214
461,350
461,423
461,441
461,542
461,691
462,117
462,162
462,165
462,293
462,356
462,434
462,493
462,658
463,29
463,85
463,108
463,216
463,281
463,454
463,647
463,654
463,678
463,714
464,199
464,211
464,556
464,677
464,678
464,683
466,37
466,85
466,126
466,131
466,326
466,391
466,527
466,598
466,602
467,16
467,89
467,414
467,469
467,617
468,51
468,382
468,488
468,494
468,573
469,48
469,124
469,422
469,436
469,467
469,540
470,56
470,60
470,69
470,285
470,466
470,651
470,684
471,122
471,203
471,441
471,450
471,564
471,658
472,284
472,347
472,601
473,27
473,45
473,132
473,152
473,164
473,199
473,284
473,477
473,590
474,119
475,180
475,303
475,501
475,591
475,991
476,13
476,124
476,395
476,404
476,622
476,643
477,26
477,27
477,132
477,152
477,326
477,473
477,567
477,590
477,678
478,127
478,355
478,439
478,480
478,605
478,644
478,714
478,720
480,29
480,350
480,441
480,623
480,645
481,123
481,210
481,299
481,521
481,711
482,646
483,4
484,135
484,209
484,238
484,548
484,585
484,676
484,1096
485,401
485,624
485,646
485,728
486,230
487,27
487,69
487,133
487,227
487,331
487,367
487,498
488,228
488,453
488,468
488,474
489,127
489,280
489,413
489,456
489,490
489,495
489,600
489,619
489,625
490,127
490,413
490,491
490,600
491,127
491,176
491,311
491,413
491,489
491,490
491,600
491,727
492,220
492,384
492,634
492,635
493,250
493,285
493,364
493,423
493,573
494,4
494,195
494,214
494,421
494,423
494,573
494,610
494,630
494,632
494,658
495,16
495,17
495,89
495,91
495,282
495,395
495,414
495,422
495,665
496,183
496,342
496,567
496,685
497,66
497,171
498,19
498,83
498,172
498,224
498,331
498,487
498,807
499,289
499,332
499,590
499,679
500,15
500,97
500,154
500,223
500,371
500,612
500,633
500,637
501,193
501,425
501,449
501,472
501,632
501,645
501,685
501,727
502,259
502,263
502,368
502,511
502,531
502,559
502,570
503,46
503,69
503,230
503,238
503,405
503,534
503,648
503,651
503,662
504,5
505,45
505,103
505,107
505,155
505,163
505,167
505,183
505,246
505,286
505,567
508,227
508,487
508,649
509,38
509,159
509,309
509,402
509,406
509,438
509,516
510,216
510,292
510,374
510,463
510,489
510,602
510,625
510,647
510,834
510,931
511,63
511,259
511,346
511,365
511,393
511,502
511,572
512,231
512,390
513,143
513,144
513,150
514,81
515,66
515,189
515,293
515,309
515,391
515,540
516,9
516,12
516,159
516,171
516,296
516,373
516,406
516,514
517,3
517,322
517,427
517,483
517,581
517,898
517,1050
519,48
519,111
519,176
519,370
519,458
519,460
520,76
520,210
521,156
521,251
521,349
521,449
521,560
522,10
522,284
522,314
522,560
523,257
523,340
523,374
523,391
523,528
523,558
523,561
523,599
523,611
523,790
524,131
524,214
524,343
524,350
524,444
524,453
524,528
524,641
524,830
526,8
526,245
526,394
526,402
526,607
527,85
527,126
527,179
527,200
527,326
527,391
527,466
527,470
527,615
528,53
528,179
528,191
528,194
528,352
528,524
528,605
528,610
529,28
529,220
529,319
529,486
531,160
531,263
532,121
532,189
532,263
532,290
532,437
532,531
533,48
533,66
533,89
533,233
533,278
533,290
533,353
533,365
535,22
535,49
535,390
535,414
535,416
535,582
536,48
536,121
536,393
536,532
536,592
537,129
537,196
537,226
537,304
537,305
537,390
537,577
537,579
537,874
538,17
538,24
538,91
538,433
538,436
538,437
538,576
540,124
540,149
540,469
540,545
541,29
541,122
541,338
541,463
541,649
541,685
542,1
543,314
543,426
544,55
544,118
544,459
544,640
547,23
547,88
547,227
547,300
547,660
547,662
548,28
548,135
548,209
548,484
549,26
549,137
549,301
549,330
549,378
549,685
550,49
550,290
550,335
550,365
550,433
550,436
551,617
551,1087
552,145
552,201
552,351
553,28
553,133
553,220
553,285
553,355
553,558
553,615
553,651
554,40
554,104
554,150
554,256
554,397
554,504
554,559
556,55
556,185
556,457
556,464
556,640
556,677
558,87
558,179
558,194
558,285
558,553
559,374
559,433
559,436
559,437
559,680
560,156
560,378
560,636
560,650
560,893
561,27
561,257
561,340
561,343
561,466
561,473
561,523
561,599
562,48
562,49
562,226
562,305
562,436
562,536
563,218
563,481
564,11
564,391
565,135
565,209
565,347
565,453
568,50
568,52
568,626
570,430
570,433
570,476
570,478
570,502
570,607
570,608
570,631
571,15
571,210
571,302
571,303
571,637
571,766
572,22
572,160
572,233
572,346
572,365
572,414
572,437
572,562
572,577
572,582
574,24
574,237
574,526
574,649
574,666
574,886
574,937
574,1075
575,40
575,293
575,376
575,554
576,95
576,143
576,538
577,129
577,196
577,226
577,305
577,335
577,390
577,537
578,24
578,400
578,401
578,538
579,62
579,275
579,457
579,459
581,324
581,1053
581,1060
582,22
582,24
582,82
582,233
582,276
582,294
582,457
582,638
583,92
584,24
584,234
584,291
584,538
584,681
585,135
585,167
585,453
585,548
586,17
586,100
586,120
586,139
586,569
586,620
586,948
586,1018
587,17
587,247
587,384
587,399
587,402
587,438
587,628
588,95
588,134
588,276
588,313
588,402
588,431
588,456
588,516
588,646
589,155
589,455
589,567
589,667
589,679
589,685
590,27
590,499
590,567
592,48
592,49
592,265
592,436
592,562
593,161
593,201
593,236
593,351
594,101
594,106
594,108
594,114
594,172
594,340
594,449
594,625
594,632
594,647
595,32
595,177
595,219
595,614
595,674
596,164
596,591
596,637
597,9
597,22
597,25
597,219
597,273
597,296
597,351
597,614
597,663
598,29
598,126
598,200
598,250
598,281
598,326
598,466
599,170
599,257
599,339
599,342
599,436
599,523
599,528
599,561
599,602
599,643
600,489
600,490
600,619
600,625
600,649
600,676
601,18
601,99
601,179
601,191
601,367
601,421
601,472
601,610
602,21
602,194
602,220
602,451
602,452
602,466
602,510
602,558
602,599
603,211
603,464
603,465
603,654
604,26
604,252
604,449
604,679
605,21
605,194
605,355
605,452
605,528
605,602
605,672
605,834
606,10
606,101
606,110
606,137
606,340
606,424
606,560
606,652
607,570
607,608
608,607
609,21
609,156
609,355
609,452
609,649
609,666
609,1001
610,53
610,99
610,172
610,200
610,598
610,601
611,103
611,170
611,198
611,225
611,240
611,257
611,340
611,615
611,622
612,97
612,154
612,169
612,636
612,780
612,893
612,1022
612,1036
613,140
613,259
613,304
613,414
613,456
614,572
614,805
614,1075
615,28
615,87
615,179
615,194
615,220
615,222
615,285
615,355
615,527
615,553
616,291
616,595
616,614
617,147
617,304
617,305
617,390
617,414
617,433
617,551
617,607
617,1010
617,1087
618,212
618,216
618,241
618,466
618,586
618,658
618,667
618,798
618,810
618,1037
619,29
619,44
619,228
619,252
619,493
619,533
619,625
620,17
620,241
620,262
620,311
620,335
620,413
620,586
621,80
621,93
622,310
622,313
622,422
622,476
622,583
623,108
623,417
623,647
625,106
625,114
625,130
625,207
625,426
625,495
625,510
625,619
625,643
626,121
626,248
626,396
626,422
626,568
626,592
628,82
628,159
628,313
628,401
628,428
628,431
628,552
628,863
630,57
630,281
630,352
630,421
630,494
630,623
630,666
630,675
631,120
631,241
631,353
631,570
632,57
632,421
632,543
632,564
632,645
634,30
634,169
634,215
634,218
634,223
634,268
634,492
634,635
634,659
635,36
635,218
635,268
635,271
636,98
636,560
637,164
637,169
637,295
637,312
637,492
637,500
637,571
637,591
637,641
638,59
638,95
638,509
638,540
638,582
638,933
639,212
639,357
639,378
640,55
640,254
640,335
640,372
640,415
640,459
640,544
640,556
640,677
641,4
641,53
641,191
641,238
641,334
641,451
641,466
641,524
641,527
642,34
642,51
642,214
642,220
642,288
642,439
642,450
642,647
642,1129
643,13
643,124
643,239
643,294
643,353
643,395
643,476
643,599
643,625
644,200
644,651
644,682
645,39
645,377
645,439
645,609
645,630
645,632
645,681
645,720
645,727
646,485
646,588
647,29
647,108
647,126
647,216
647,281
647,392
647,450
647,510
647,623
647,666
648,31
648,117
648,150
648,627
649,227
649,237
649,508
649,641
650,156
650,560
651,23
651,306
651,319
651,470
651,547
651,618
651,653
651,662
651,684
653,56
653,110
653,306
653,434
653,470
653,651
653,656
653,684
654,94
654,167
654,211
654,464
654,603
655,145
655,248
655,552
656,306
656,651
656,653
656,682
657,33
657,62
657,203
657,460
658,195
658,216
658,238
658,358
658,424
658,494
658,524
658,610
658,647
658,649
659,214
659,228
659,268
659,875
659,957
659,994
659,1078
659,1144
660,172
660,235
660,309
660,312
660,445
660,509
661,276
662,77
662,319
662,618
662,651
664,97
664,137
664,210
664,298
664,371
664,481
664,501
664,594
664,632
664,1044
665,14
