"","id","sex","race","grade"
"290",290,1,2,12
"291",291,2,2,10
"292",292,2,1,11
"293",293,2,2,10
"294",294,1,2,11
"295",295,2,1,9
"296",296,1,5,10
"297",297,1,1,12
"298",298,1,1,9
"299",299,1,2,9
"300",300,2,1,12
"301",301,1,1,10
"302",302,1,1,10
"303",303,1,1,9
"304",304,2,2,12
"305",305,2,2,12
"306",306,2,1,12
"307",307,2,1,9
"308",308,2,1,9
"309",309,1,2,10
"310",310,1,2,11
"311",311,2,2,9
"312",312,2,5,9
"313",313,2,3,9
"314",314,2,1,10
"315",315,2,1,12
"316",316,1,2,11
"317",317,2,1,12
"318",318,2,1,9
"319",319,1,1,12
"320",320,2,2,11
"321",321,2,5,11
"322",322,1,1,9
"323",323,1,1,10
"324",324,1,2,10
"325",325,2,2,10
"326",326,2,1,10
"327",327,2,1,12
"328",328,2,1,10
"329",329,1,1,9
"330",330,2,1,9
"331",331,2,1,10
"332",332,2,1,11
"333",333,2,3,11
"334",334,1,1,10
"335",335,2,2,11
"336",336,1,3,10
"337",337,2,5,9
"338",338,1,1,9
"339",339,1,2,11
"340",340,1,1,11
"341",341,2,2,9
"342",342,1,1,11
"343",343,1,1,10
"344",344,1,2,9
"345",345,1,2,9
"346",346,2,2,12
"347",347,2,1,10
"348",348,2,2,10
"349",349,1,1,9
"350",350,1,1,10
"351",351,2,2,9
"352",352,1,1,9
"353",353,1,2,11
"354",354,1,2,9
"355",355,2,1,11
"356",356,2,1,10
"357",357,2,1,9
"358",358,1,5,10
"359",359,1,1,9
"360",360,1,1,12
"361",361,1,2,11
"362",362,1,1,9
"363",363,2,2,10
"364",364,2,2,9
"365",365,2,2,12
"366",366,1,1,10
"367",367,1,1,12
"368",368,1,2,12
"369",369,2,2,11
"370",370,1,2,12
"371",371,1,2,9
"372",372,1,1,12
"373",373,1,2,10
"374",374,1,1,11
"375",375,1,2,9
"376",376,1,5,10
"377",377,2,1,11
"378",378,2,1,10
"379",379,1,5,9
"380",380,1,3,10
"381",381,1,2,10
"382",382,1,5,10
"383",383,2,2,10
